customer_id,age,gender,city,purchase_frequency,avg_order_value,recency_days,total_orders,total_spent,preferred_category
CUST1001,20,Female,Delhi,5.7,129.38,37,68,3278.02,Sports
CUST1002,47,Male,Hyderabad,8.3,493.66,20,77,23879.47,Fashion
CUST1003,34,Male,Chennai,4.7,84.09,27,13,2873.1,Electronics
CUST1004,32,Female,Chennai,2.6,189.9,31,21,2703.51,Beauty
CUST1005,37,Male,Hyderabad,8.0,457.52,7,30,23705.92,Sports
CUST1006,30,Male,Bangalore,4.1,79.49,34,64,2250.52,Fashion
CUST1007,21,Female,Chennai,5.2,104.17,31,52,2461.9,Beauty
CUST1008,51,Female,Chennai,2.4,206.47,62,38,3465.98,Home
CUST1009,40,Male,Bangalore,7.9,358.25,34,59,22801.2,Sports
CUST1010,38,Female,Hyderabad,0.2,91.76,103,19,731.16,Beauty
CUST1011,41,Male,Mumbai,10.4,575.35,17,9,23693.52,Sports
CUST1012,38,Male,Delhi,1.7,206.23,43,42,3000.11,Beauty
CUST1013,46,Male,Bangalore,0.7,126.74,148,65,1027.12,Fashion
CUST1014,33,Male,Hyderabad,7.0,620.52,20,79,22898.82,Sports
CUST1015,36,Male,Mumbai,4.5,88.54,23,59,2296.12,Fashion
CUST1016,26,Male,Chennai,6.4,91.67,30,44,1791.19,Fashion
CUST1017,38,Female,Hyderabad,1.0,220.38,92,55,870.53,Sports
CUST1018,34,Female,Hyderabad,8.8,562.34,26,47,23263.76,Electronics
CUST1019,22,Male,Bangalore,4.1,99.15,41,68,3013.49,Home
CUST1020,41,Female,Chennai,0.9,116.61,131,71,899.57,Home
CUST1021,43,Female,Delhi,0.5,158.83,72,25,355.94,Electronics
CUST1022,44,Male,Bangalore,0.5,247.35,164,58,650.73,Beauty
CUST1023,25,Male,Chennai,2.4,101.61,39,70,3138.89,Sports
CUST1024,18,Female,Chennai,6.3,85.01,8,35,3297.75,Sports
CUST1025,38,Male,Hyderabad,7.8,507.64,20,78,23114.12,Sports
CUST1026,41,Male,Delhi,0.6,242.58,161,76,349.27,Home
CUST1027,35,Female,Chennai,1.5,177.28,62,63,753.01,Fashion
CUST1028,31,Female,Mumbai,1.3,229.12,37,77,2212.91,Electronics
CUST1029,35,Female,Bangalore,9.6,622.9,26,33,24109.56,Sports
CUST1030,33,Female,Delhi,4.3,87.24,24,76,2560.42,Electronics
CUST1031,39,Male,Hyderabad,0.0,138.57,84,10,714.46,Beauty
CUST1032,27,Male,Bangalore,3.5,79.38,26,60,1821.15,Electronics
CUST1033,48,Male,Delhi,0.8,196.71,103,71,326.35,Beauty
CUST1034,31,Female,Hyderabad,2.6,132.08,35,67,3093.52,Beauty
CUST1035,41,Female,Chennai,10.5,502.01,16,61,23616.35,Sports
CUST1036,25,Female,Delhi,4.3,99.88,47,44,2351.85,Beauty
CUST1037,48,Female,Delhi,0.4,233.91,51,67,1119.18,Beauty
CUST1038,40,Female,Mumbai,7.6,464.21,13,19,24618.79,Beauty
CUST1039,40,Male,Mumbai,2.2,246.01,54,46,2132.16,Beauty
CUST1040,30,Female,Bangalore,8.5,494.42,1,58,23952.13,Sports
CUST1041,19,Male,Mumbai,6.5,43.28,44,43,2007.89,Home
